entrez,pval,fc
10914,2.10698059428225e-100,1.37608876329084
4254,4.0272366087014997e-100,1.710804643416
23243,1.09987585432609e-99,1.34694434327
4087,1.44522593602525e-99,1.01320955027263
80267,1.57182471658212e-99,1.45947676738011
221079,2.78083332713344e-99,1.85042952538092
23137,3.33340828463548e-99,1.59432745259023
441155,4.33943991754752e-99,1.36606385062595
8763,7.33872485960319e-99,1.19680057706756
10051,3.29871531672799e-98,1.2863062996926
55667,3.96821970890832e-98,1.61980080445091
8350,5.07324402406793e-98,-1.23211193520006
64167,6.12456010206528e-98,1.04774092527333
6651,1.74125133893871e-97,1.06685657867328
60559,2.08388099541192e-97,1.02972540137152
85235,2.50900069366879e-97,-1.11998005933008
3796,3.5371964985097e-97,1.57283901492322
6386,7.72275703325214e-97,1.31709415881127
196527,8.119206807879648e-97,1.06491832341861
10979,1.91325083386896e-96,1.21968765302052
2908,2.10167478630321e-96,1.32581831572838
8894,2.46508438978736e-96,1.02495309398507
7398,5.42921882482459e-96,1.31300126016162
214,5.5382291066943e-96,1.42869843089281
9897,6.67422764281092e-96,1.32034392234665
22868,6.8080764219011e-96,1.4607771196431
3431,9.16883651220436e-96,1.42688476526217
23111,1.4137794122651501e-95,1.05585555483162
51430,1.90025492118426e-95,1.63941634024978
4599,2.40617149553637e-95,1.22088687450417
253943,2.45865442364289e-95,1.24892435114816
23365,1.38978803625397e-94,1.27651260198635
1657,1.58160775840234e-94,1.72798389140819
23190,3.6770560611921297e-94,1.33301783633001
79677,3.98598923130944e-94,1.88200609967739
151011,4.5955608147649497e-94,1.24405000386703
51105,8.18377281768003e-94,1.46793127885742
5597,9.50089656553565e-94,1.35572374269124
100381270,1.00133341156158e-93,1.45544825216773
134429,2.26355902229658e-93,1.43524706458881
55854,2.6284664707478403e-93,1.39900757207758
9728,2.6762031970490003e-93,1.46452646192267
4124,2.84735691754759e-93,1.37899748706225
79882,3.1551954725467e-93,1.16357229013313
26036,3.16319517706368e-93,1.34333233724217
55729,3.90970896010018e-93,1.37570808315468
8930,3.91324175402782e-93,1.44172173098392
3013,6.29760154318573e-93,-1.04214620965417
80114,1.1304354668858e-92,1.34346373110504
6925,1.8890892542855598e-92,1.38986606069875
79834,5.702099745060429e-92,1.21949567108053
23379,6.04655644478541e-92,1.28179323054619
3097,8.934719862056239e-92,1.32264778596427
