Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon'.p-value	'COVID-19' vs 'normal' in 'colon'.log2foldchange	'COVID-19' vs 'normal' in 'lung'.p-value	'COVID-19' vs 'normal' in 'lung'.log2foldchange
ENSG00000006327	TNFRSF12A	0.487010429549882	-0.8	0.212963921086614	0.9
ENSG00000006377	DLX6	0.167008270140042	-1.7	NA	1
ENSG00000006432	MAP3K9	0.0631107456930552	-1.4	0.729689141143362	-0.3
ENSG00000006451	RALA	0.350430311701256	0.5	0.921683874028126	0.1
ENSG00000006453	BAIAP2L1	0.949546668980094	0.1	0.506199631613907	-0.3
ENSG00000006459	KDM7A	0.277703720432304	0.5	0.12858341283806	0.5
ENSG00000006468	ETV1	0.00122403775476792	1.5	0.0255555970792197	-1.5
ENSG00000006530	AGK	0.200026263496366	-0.6	0.445345204576297	-0.3
ENSG00000006534	ALDH3B1	0.189433174344536	-0.8	0.402565622881436	-0.6
ENSG00000006555	TTC22	0.00119019956099471	-1.9	0.966424830799887	0.1
ENSG00000006576	PHTF2	0.27941186507911	-0.4	0.0536745958621407	0.6
ENSG00000006606	CCL26	0.127220314920056	-1.9	0.486561924092177	-1.1
ENSG00000006607	FARP2	0.933193567467034	0	0.718911019978321	-0.1
ENSG00000006611	USH1C	0.0421906078546385	-1.7	0.966607932811456	0.1
ENSG00000006625	GGCT	0.823660840793557	0.2	0.0799277237528495	1
ENSG00000006634	DBF4	0.81144777488695	-0.1	0.0896473971185194	0.8
ENSG00000006638	TBXA2R	0.181651832652878	-1.1	0.649353556170251	-0.5
ENSG00000006652	IFRD1	0.215158523933991	0.5	0.321861736736973	0.5
ENSG00000006659	LGALS14	NA	0.1	NA	0.1
ENSG00000006695	COX10	0.569009672795103	-0.3	0.829694542481123	0.2
ENSG00000006704	GTF2IRD1	0.249701711399919	0.8	0.813225511741197	-0.2
ENSG00000006712	PAF1	0.503603463887436	-0.3	0.926564663892949	-0.1
ENSG00000006715	VPS41	0.668526623771136	-0.2	0.479693553363074	0.2
ENSG00000006740	ARHGAP44	0.292025588131606	-0.7	0.00242047920130762	-1.2
ENSG00000006744	ELAC2	0.167030963848317	-0.4	0.933726230325497	0.1
ENSG00000006747	SCIN	0.0265445195583711	-1.5	0.105787845141706	-1.1
ENSG00000006756	ARSD	0.00982901093905883	-1.1	0.100331915072339	-0.8
ENSG00000006757	PNPLA4	0.134973757808589	-1	0.289103065035744	-0.8
ENSG00000006788	MYH13	0.539242341124395	0.9	NA	0.5
ENSG00000006831	ADIPOR2	0.0231426611672001	0.7	0.0485261912973428	0.7
ENSG00000006837	CDKL3	0.41101274748633	0.6	0.912072546150177	-0.1
ENSG00000007001	UPP2	0.258090459658951	-1.4	0.0390441152357952	-1.9
ENSG00000007038	PRSS21	0.915072319667406	0.2	0.0552891277920089	-2.2
ENSG00000007047	MARK4	0.879512488463069	-0.1	0.918675129632954	0.1
ENSG00000007062	PROM1	0.00687327928875892	-1.4	0.578942622316403	0.6
ENSG00000007080	CCDC124	0.855532596560573	0.2	0.925321795237079	0.1
ENSG00000007129	CEACAM21	0.0269514457304265	-2	0.371878313247127	-0.9
ENSG00000007168	PAFAH1B1	0.747782757136471	0.1	0.750040144436248	-0.1
ENSG00000007171	NOS2	0.117176010328345	-1.6	0.701801063380285	-0.6
ENSG00000007174	DNAH9	0.956966878820375	-0.1	0.689532787179836	-0.5
ENSG00000007202	KIAA0100	0.782812868525154	-0.1	0.788350818110747	0.1
ENSG00000007216	SLC13A2	5.77169302421927e-06	-3.7	NA	-0.3
ENSG00000007237	GAS7	0.254014395847382	0.6	0.875914671151752	0.1
ENSG00000007255	TRAPPC6A	0.00147224591084624	-2	0.0699674936685445	-2
ENSG00000007264	MATK	0.000218442846248017	-3.4	0.94668733010317	-0.1
ENSG00000007306	CEACAM7	0.277583064020191	-1.4	0.859401400738575	0.3
ENSG00000007312	CD79B	0.147523683320445	-1.6	NA	0.5
ENSG00000007314	SCN4A	0.000106408998351953	-3.8	NA	0.1
ENSG00000007341	ST7L	0.0357636525388711	0.7	0.673505591049701	0.2
ENSG00000007350	TKTL1	0.91490069820287	-0.2	0.966278615756118	0.1
ENSG00000007372	PAX6	0.00033337057100736	-3.1	0.920194722223337	0.2
ENSG00000007376	RPUSD1	0.011847156472252	-1.8	0.175098535792455	1.3
ENSG00000007384	RHBDF1	0.912055267249595	0.1	0.603506983336255	-0.4
ENSG00000007392	LUC7L	0.591927202564167	0.2	0.696183432286069	0.2
ENSG00000007402	CACNA2D2	0.395941851167072	-0.7	2.18148147401875e-08	-3.3
