#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000095380,NANS,0,1,0.0103178,2382.08,2391.41
ENSG00000095383,TBC1D2,0,1,-0.0130943,3163.88,3125.28
ENSG00000095397,WHRN,0,1,-0.231744,256.69,217.223
ENSG00000095464,#N/A,-0.1748,1,-2.08217,23.4688,3.91393
ENSG00000095485,CWF19L1,-0.0305507,1,-0.170717,2088.72,1849.33
ENSG00000095539,SEMA4G,0,1,0.339843,187.75,236.793
ENSG00000095564,BTAF1,0,1,-0.0154001,3740.33,3688.88
ENSG00000095574,IKZF5,0,1,0.129723,850.742,927.602
ENSG00000095585,BLNK,-0.156937,1,-0.802059,121.744,68.4939
ENSG00000095587,#N/A,0,1,0.420333,0,0
ENSG00000095596,#N/A,0,1,3.22769,0,11.7418
ENSG00000095637,SORBS1,-0.340054,1,-0.644518,532.447,338.555
ENSG00000095713,CRTAC1,0.969528,1,1.45136,99.7422,273.975
ENSG00000095739,BAMBI,-0.202686,1,-0.514961,478.176,332.684
ENSG00000095752,IL11,0.0690131,1,0.557837,130.545,191.783
ENSG00000095787,WAC,0,1,-0.0304696,8984.13,8769.17
ENSG00000095794,CREM,0.112048,1,0.355866,569.117,726.035
ENSG00000095906,NUBP2,0,1,0.134376,1785.09,1953.05
ENSG00000095951,HIVEP1,0.406985,1,0.540867,1766.02,2561.67
ENSG00000095970,#N/A,0,1,2.0053,0,3.91393
ENSG00000096006,CRISP3,0,1,-0.749592,77.7403,45.0102
ENSG00000096060,FKBP5,0,1,-0.0932325,1198.37,1119.39
ENSG00000096063,SRPK1,0.0289417,1,0.0938589,8856.52,9422.8
ENSG00000096070,BRPF3,0.213505,1,0.329384,2543.43,3185.94
ENSG00000096080,MRPS18A,0,1,0.00110786,2022.71,2017.63
ENSG00000096088,#N/A,0,1,-1.57967,4.40039,0
ENSG00000096092,TMEM14A,0,1,-0.101554,1656.01,1538.18
ENSG00000096093,EFHC1,0,1,0.0253289,1082.5,1097.86
ENSG00000096384,HSP90AB1,0.154825,1,0.17592,81159.4,91406
ENSG00000096395,#N/A,0,1,0.420333,0,0
ENSG00000096401,CDC5L,0,1,0.0499439,4960.71,5119.43
ENSG00000096433,ITPR3,0.190075,1,0.248849,10181,12060.8
ENSG00000096654,ZNF184,0.0958439,1,0.333745,602.854,757.346
ENSG00000096696,DSP,0.362265,1,0.418702,10380.5,13833.8
ENSG00000096717,SIRT1,0,1,-0.130219,1061.96,966.742
ENSG00000096746,HNRNPH3,0.0667533,1,0.139613,6908.62,7587.16
ENSG00000096872,IFT74,0,1,-0.030878,768.602,749.518
ENSG00000096968,JAK2,0,1,-0.0240789,629.256,616.445
ENSG00000096996,IL12RB1,0.0308141,1,0.802204,46.9375,82.1926
ENSG00000097007,ABL1,0.443498,1,0.551307,2715.04,3966.77
ENSG00000097021,ACOT7,0.101499,1,0.203572,3436.71,3945.25
ENSG00000097033,SH3GLB1,0,1,-0.0487042,7265.05,7002.03
ENSG00000097046,CDC7,-0.124582,1,-0.25955,2336.61,1945.23
ENSG00000097096,SYDE2,0,1,-0.116624,583.785,536.209
ENSG00000099139,PCSK5,0,1,-0.0294698,984.221,960.871
ENSG00000099194,SCD,-2.6069,1,-2.67934,29597,4604.74
ENSG00000099203,TMED1,0,1,-0.0840352,470.842,442.275
ENSG00000099204,ABLIM1,0,1,-0.0869404,3551.12,3332.72
ENSG00000099219,ERMP1,-0.566939,1,-0.641979,8985.6,5739.78
ENSG00000099246,RAB18,0,1,-0.0553126,4526.54,4342.51
ENSG00000099250,NRP1,0.515116,1,0.849891,252.289,454.016
ENSG00000099256,#N/A,0,1,0.420333,0,0
ENSG00000099260,PALMD,-0.0993006,1,-0.287312,1213.04,990.225
ENSG00000099282,TSPAN15,0,1,-0.12458,2082.85,1904.13
ENSG00000099284,MACROH2A2,0.109999,1,0.258156,1598.81,1906.09
ENSG00000099290,WASHC2A,-0.0363074,1,-0.178127,2046.18,1802.37
ENSG00000099308,MAST3,0,1,0.00753067,629.256,630.143
ENSG00000099326,MZF1,-0.0290113,1,-0.185497,1683.88,1475.55
ENSG00000099330,OCEL1,0,1,-0.122809,447.373,409.006
ENSG00000099331,MYO9B,0.0690872,1,0.149057,5714.64,6317.09
ENSG00000099337,KCNK6,0,1,-0.116617,1060.49,974.57
ENSG00000099338,CATSPERG,0,1,0.123351,124.678,135.031
ENSG00000099341,PSMD8,0,1,0.0498713,12712.7,13119.5
ENSG00000099364,FBXL19,0,1,0.0110155,2706.24,2718.23
ENSG00000099365,#N/A,0,1,-0.0650937,8.80078,7.82787
ENSG00000099377,HSD3B7,0,1,-0.0803604,388.701,365.953
ENSG00000099381,SETD1A,0.0278351,1,0.156153,2216.33,2461.86
ENSG00000099385,BCL7C,0.0944574,1,0.249328,1468.26,1739.74
ENSG00000099399,#N/A,0,1,0.420333,16.1348,21.5266
ENSG00000099617,#N/A,0,1,0.206208,41.0703,46.9672
ENSG00000099622,CIRBP,0.0847807,1,0.185974,3520.31,3992.21
ENSG00000099624,ATP5F1D,0,1,-0.0557407,1261.45,1209.41
ENSG00000099625,CBARP,0,1,0.0266693,96.8086,97.8484
ENSG00000099769,#N/A,0,1,0.0984051,5.86719,5.8709
ENSG00000099783,HNRNPM,0,1,0.0194442,15675.7,15839.7
ENSG00000099785,MARCHF2,0,1,0.120372,404.836,438.361
ENSG00000099795,NDUFB7,0,1,0.0662247,995.955,1039.15
ENSG00000099797,TECR,0,1,0.0168373,3407.37,3436.43
ENSG00000099800,TIMM13,-0.0209604,1,-0.200397,1286.38,1115.47
ENSG00000099804,CDC34,0.00629158,1,0.1545,1663.35,1845.42
ENSG00000099812,MISP,-0.0314774,1,-0.124574,4661.48,4262.27
ENSG00000099814,CEP170B,0.138698,1,0.211579,6716.47,7753.5
ENSG00000099817,POLR2E,-0.00258628,1,-0.0937368,4803.76,4487.33
ENSG00000099821,POLRMT,0,1,-0.0773222,1597.34,1508.82
ENSG00000099822,HCN2,0.452089,1,0.893086,142.279,264.191
ENSG00000099834,#N/A,0,1,-0.357274,16.1348,11.7418
ENSG00000099840,#N/A,0,1,-1.71717,30.8027,7.82787
ENSG00000099849,RASSF7,0,1,0.200396,859.543,984.355
ENSG00000099860,GADD45B,0.0529848,1,0.230362,1127.97,1319
ENSG00000099864,PALM,0.157295,1,0.470519,330.029,455.973
ENSG00000099866,#N/A,0,1,1.42033,2.93359,9.78484
ENSG00000099875,MKNK2,0.108541,1,0.214653,3166.82,3663.44
ENSG00000099889,ARVCF,0,1,-0.0476532,215.619,207.439
ENSG00000099899,TRMT2A,0,1,-0.123534,1166.1,1066.55
ENSG00000099901,RANBP1,0.0117266,1,0.0839174,7191.71,7598.9
ENSG00000099904,ZDHHC8,0,1,0.00309004,1598.81,1596.89
ENSG00000099910,KLHL22,0.463373,1,0.663268,758.334,1197.66
ENSG00000099917,MED15,0.0505957,1,0.146085,4014.62,4428.62
ENSG00000099937,#N/A,0,1,0.420333,0,0
ENSG00000099940,SNAP29,0,1,-0.0359401,2341.01,2275.95
ENSG00000099942,CRKL,0.0286601,1,0.108921,5763.05,6195.76
ENSG00000099949,LZTR1,0,1,-0.0969488,2120.99,1976.54
