#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000163516,ANKZF1,-0.0721945,1,-0.27429,1095.61,958.803
ENSG00000260565,#N/A,-0.0721055,1,-0.411395,405.375,322.674
ENSG00000170515,PA2G4,-0.0719405,1,-0.119737,18629.7,18140.4
ENSG00000163512,AZI2,-0.0719071,1,-0.189346,3157.54,2930.19
ENSG00000108671,PSMD11,-0.0718958,1,-0.151184,6840.98,6518.02
ENSG00000129493,HEATR5A,-0.0718887,1,-0.209192,2324.88,2128.11
ENSG00000168152,THAP9,-0.0716492,1,-0.500226,260.755,195.141
ENSG00000273247,#N/A,-0.0715767,1,-0.527448,232.269,170.556
ENSG00000084623,EIF3I,-0.0709763,1,-0.124213,15040.5,14600.2
ENSG00000144028,SNRNP200,-0.0709707,1,-0.116569,20448.4,19955.1
ENSG00000167930,FAM234A,-0.0708433,1,-0.270843,1117.52,980.315
ENSG00000280069,#N/A,-0.0707122,1,-0.90528,76.6926,43.0232
ENSG00000117899,MESD,-0.070691,1,-0.212922,2169.3,1980.6
ENSG00000183161,FANCF,-0.0705509,1,-0.319575,731.867,620.763
ENSG00000173418,NAA20,-0.0704957,1,-0.14224,8331.01,7986.95
ENSG00000119953,SMNDC1,-0.0702562,1,-0.194632,2820.1,2607.51
ENSG00000131381,RBSN,-0.0701553,1,-0.206313,2362.13,2166.53
ENSG00000172974,#N/A,-0.070003,1,-0.198409,2649.18,2443.1
ENSG00000077721,UBE2A,-0.0700026,1,-0.182942,3407.34,3176.03
ENSG00000117500,TMED5,-0.0699959,1,-0.140236,8685.98,8338.82
ENSG00000124198,ARFGEF2,-0.0698197,1,-0.130828,11477.6,11090.8
ENSG00000130193,THEM6,-0.0698046,1,-0.329524,674.895,568.521
ENSG00000232434,#N/A,-0.0697725,1,-0.0958362,35.0595,35.3405
ENSG00000266402,#N/A,-0.0697725,1,-0.0958362,35.0595,35.3405
ENSG00000128626,MRPS12,-0.0696767,1,-0.276225,1049.59,917.316
ENSG00000172667,ZMAT3,-0.0695398,1,-0.212561,2145.2,1959.09
ENSG00000136758,YME1L1,-0.0695039,1,-0.122257,15307.8,14879.9
ENSG00000128692,#N/A,-0.0694921,1,-0.253694,1310.35,1163.16
ENSG00000140836,ZFHX3,-0.0694891,1,-0.210533,2204.36,2015.94
ENSG00000082515,MRPL22,-0.0694835,1,-0.190577,2971.29,2755.02
ENSG00000187608,ISG15,-0.0692764,1,-0.79497,98.6048,59.9252
