entrez	pval	logfc
8439	0.279964225884758	0.5
159	0.35875805980865	-0.3
26228	0.56490706459555	-0.5
7077	0.147461643082788	0.7
5981	0.384562825112212	0.2
55773	0.571489903421456	0.2
8452	0.45391771303951	0.2
9172	0.0129745504570241	-1.6
5009	0.0005773975359874	-2.7
10858	0.0603842611241155	-1.0
26009	0.368388084876108	0.4
6570	0.0052395780145367	-2.5
9099	0.0246212117326025	-1.5
846	0.0854742579324216	-1.9
27175	0.930422069073863	0.1
51121	0.575026358252336	0.4
2324	0.330388329191368	-0.7
54888	0.513638378708894	0.3
54455	0.714331133959829	0.2
4238	0.0368354697801659	1.0
84245	0.645474684028585	0.3
4234	0.658836053609499	-0.4
3224	0.0837667152624651	2.0
175	0.115908439969671	-0.6
55300	0.815065524463576	0.2
259282	0.936043824438006	0.0
27430	0.0865161030775431	0.9
7092	0.0740785767526774	1.2
23644	0.0457062839301861	-1.0
7204	0.0358499008376755	-0.5
1462	0.137223764853419	0.7
23274	0.0215524866065944	-1.0
4481	0.0119760151999894	1.3
999	0.0548772937340184	-1.6
23517	0.935659042978851	0.0
1767	0.948902403096034	-0.1
9765	0.0747637024692349	0.5
79567	0.142026483662227	0.8
729	0.911788473300035	-0.1
26064	0.0050349790906358	1.4
11063	0.459002149816462	-0.7
11284	0.0361096906059927	-1.5
54831	0.0133879229561116	-2.4
23035	0.0003879615564304	-1.3
54908	0.159411422382706	-0.9
27067	0.109335663958578	0.8
54896	0.269570799234908	-1.0
1497	0.761790175990043	0.3
65078	0.722504318321874	-0.4
79142	0.381200929546566	-0.6
1008	0.864762974725693	0.2
3631	0.849743669143028	-0.1
5874	0.630614542239963	-0.4
5685	0.391676203207378	0.3
23026	0.103210984666228	-1.3
55341	0.793391400525513	0.1
10039	0.209988416120946	-0.7
3371	0.386521570367694	0.8
90326	0.614436039252055	-0.4
140876	0.718210662820082	0.3
55775	0.570866428805118	-0.4
84883	0.785357406969784	0.2
55812	0.0221902139169035	0.8
9440	0.0952021119621144	0.8
54884	0.0396834892462321	-1.0
822	0.0382526009283664	-1.5
1175	0.0159832130181635	-0.7
7399	0.010829801651076	-1.9
11055	0.223187106835195	-1.7
7038	0.344750892011774	-1.0
10863	0.0277244302960558	-1.4
8538	1.89947638521505e-06	-3.0
54165	0.184557024221291	0.4
23338	0.42523819472881	-0.5
3937	0.233447663343488	-0.5
54802	0.885729789477651	0.1
153	0.729378363107899	-0.3
2981	0.0538441392594262	-2.0
9820	0.258362499312322	-0.7
1495	0.498126017559428	0.2
5256	0.433552968772363	-0.4
54875	0.145159267592858	0.5
2042	0.926744592683741	-0.1
3309	0.451351631423728	0.3
1829	0.796775180190339	-0.2
54960	0.803875021750035	-0.2
8481	0.657999451948284	-0.2
2824	0.025917532636673	0.9
80243	0.215900959986724	0.5
22884	0.0133523899121155	-1.0
64848	0.691622248486111	0.1
56474	0.229123964559656	-0.5
51606	0.406052078531321	0.3
5431	0.180237027298533	-0.4
56204	0.527419264688904	-0.2
116984	0.99953106361631	0.0
7175	0.939942148473651	0.0
1356	0.668702071075943	0.3
23247	0.0001859043221947	-1.8
84062	0.72579804252001	0.2
7504	0.922300038420311	0.1
57101	0.042575405943509	1.7
57102	0.768206093828455	0.2
6322	0.0014404431003908	1.1
55841	0.102914547725814	0.5
395	0.0076837059808129	1.0
27146	0.676051917252051	0.5
4134	0.30156112440843	0.5
57120	0.0250398366549163	0.5
6098	0.99045335072105	0.0
57646	0.943401143818755	0.0
9734	0.79644740759141	0.2
26262	0.575785689277666	-0.4
51491	0.0845547448264793	-1.0
57545	0.546157188347891	0.3
50484	0.0010494504909205	1.3
168850	0.0018708158061815	0.9
608	0.0004837460914904	-2.4
92017	0.322774994007678	-0.4
55885	0.015589376419044	1.2
55173	0.104201333709489	0.6
51773	0.155149465295976	0.4
55187	0.585365677941993	0.2
10659	4.96469992922736e-06	0.9
23196	0.129467612097551	0.5
23518	0.221816704556931	0.3
1298	5.81802141520095e-05	-2.8
4254	4.39210587001795e-05	1.3
1161	0.478649738492358	0.3
11174	0.457219977244827	-0.5
9563	0.649331363238281	-0.3
9341	0.000356410968081	0.9
8863	0.72693332053285	0.2
10911	0.925711112391376	-0.1
3604	0.0278981706753672	-1.8
55040	0.001299165900644	-2.3
4052	0.0291880886414865	1.1
5954	0.420881038185237	0.4
2006	0.924535996876059	-0.1
5982	0.444527894858995	0.4
57492	0.18579277050861	0.3
81037	0.689272960187127	-0.3
23327	0.282421851786335	-0.5
50943	8.24896696582193e-05	-3.3
89801	0.781077273112879	-0.3
3074	0.456587725555597	0.3
79810	0.308653944743625	0.5
340533	5.81456244582137e-05	1.3
51528	0.947684715673326	0.0
27122	0.512636166744553	0.4
7984	0.586426617461133	-0.4
9603	0.790303511881879	0.2
63933	0.224555048214928	-0.5
51474	0.227858436250867	-0.5
25875	0.144079532676715	-0.5
9498	0.292745558012902	-0.8
10319	0.0998132169724976	-1.6
5733	0.0198110233291337	1.4
79931	0.0200783482126525	-1.6
5601	0.796336143081788	0.1
91522	0.0002387011627415	-3.4
9564	0.0825749637372057	-0.9
84067	0.0053947381464909	-1.3
